SNR_dB	RollOff	MSE
12	0.10	1.492739e+00
12	0.15	7.142277e-01
12	0.20	5.799469e-01
12	0.25	6.485005e-01
12	0.30	5.994320e-01
12	0.35	5.546140e-01
12	0.40	5.921373e-01
12	0.45	5.972528e-01
12	0.50	5.915691e-01
12	0.55	5.986033e-01
12	0.60	5.898538e-01
12	0.65	5.841337e-01
12	0.70	5.880252e-01
12	0.75	5.538028e-01
12	0.80	5.699810e-01
12	0.85	5.659546e-01
12	0.90	5.839840e-01
12	0.95	5.919925e-01
12	1.00	5.955746e-01

13	0.00	2.341383e+00
13	0.05	2.412834e+00
13	0.10	1.417333e+00
13	0.15	6.253438e-01
13	0.20	5.391203e-01
13	0.25	6.213524e-01
13	0.30	5.623497e-01
13	0.35	5.431911e-01
13	0.40	5.382220e-01
13	0.45	5.354720e-01
13	0.50	5.419971e-01
13	0.55	5.700281e-01
13	0.60	5.325627e-01
13	0.65	5.294073e-01
13	0.70	5.359543e-01
13	0.75	5.536350e-01
13	0.80	5.683741e-01
13	0.85	5.460995e-01
13	0.90	5.313278e-01
13	0.95	5.313477e-01
13	1.00	5.519052e-01

14	0.00	2.284196e+00
14	0.05	2.402717e+00
14	0.10	1.366268e+00
14	0.15	6.180349e-01
14	0.20	4.989502e-01
14	0.25	5.611295e-01
14	0.30	5.386465e-01
14	0.35	4.971536e-01
14	0.40	5.225221e-01
14	0.45	4.992938e-01
14	0.50	5.002402e-01
14	0.55	4.981451e-01
14	0.60	5.039210e-01
14	0.65	4.910810e-01
14	0.70	4.900838e-01
14	0.75	4.781086e-01
14	0.80	5.101249e-01
14	0.85	5.079321e-01
14	0.90	5.156419e-01
14	0.95	4.983205e-01
14	1.00	4.974103e-01

15	0.00	2.293065e+00
15	0.05	2.370846e+00
15	0.10	1.345756e+00
15	0.15	5.887767e-01
15	0.20	4.920711e-01
15	0.25	5.295652e-01
15	0.30	5.021385e-01
15	0.35	4.759026e-01
15	0.40	4.831028e-01
15	0.45	4.903876e-01
15	0.50	4.776847e-01
15	0.55	4.786192e-01
15	0.60	4.850651e-01
15	0.65	4.703512e-01
15	0.70	4.693958e-01
15	0.75	4.630278e-01
15	0.80	4.719771e-01
15	0.85	4.505865e-01
15	0.90	4.763464e-01
15	0.95	4.745300e-01
15	1.00	4.691716e-01

16	0.00	2.277230e+00
16	0.05	2.345441e+00
16	0.10	1.325002e+00
16	0.15	5.654663e-01
16	0.20	4.595787e-01
16	0.25	5.181162e-01
16	0.30	4.678729e-01
16	0.35	4.457859e-01
16	0.40	4.736533e-01
16	0.45	4.599809e-01
16	0.50	4.462813e-01
16	0.55	4.502325e-01
16	0.60	4.513753e-01
16	0.65	4.505572e-01
16	0.70	4.355862e-01
16	0.75	4.508144e-01
16	0.80	4.484866e-01
16	0.85	4.426818e-01
16	0.90	4.565247e-01
16	0.95	4.450235e-01
16	1.00	4.392975e-01

17	0.00	2.198898e+00
17	0.05	2.351448e+00
17	0.10	1.314236e+00
17	0.15	5.437179e-01
17	0.20	4.360961e-01
17	0.25	5.105648e-01
17	0.30	4.436011e-01
17	0.35	4.265762e-01
17	0.40	4.426665e-01
17	0.45	4.386877e-01
17	0.50	4.257355e-01
17	0.55	4.254207e-01
17	0.60	4.282297e-01
17	0.65	4.347401e-01
17	0.70	4.195921e-01
17	0.75	4.388648e-01
17	0.80	4.291154e-01
17	0.85	4.215105e-01
17	0.90	4.320302e-01
17	0.95	4.212879e-01
17	1.00	4.263226e-01

18	0.00	2.228964e+00
18	0.05	2.299428e+00
18	0.10	1.298295e+00
18	0.15	5.254723e-01
18	0.20	4.268368e-01
